X,Y,Name,
-8.414993,31.381756,TALAMANZOU
-8.322708,31.409685,DAR CHAAB
-8.443502,31.223334,ZAOUIAT SIDI BOUATHMANE
-8.333363,31.390538,DAR LMOUKHTAR
-8.312729,31.362902,LAGIDA SFASAF
-8.396401,31.39644,TIQLITE
-8.381878,31.333913,LAMRAMDA ZAOUIAT
-8.390946,31.349072,TAGOUMATE
-8.480628,31.463263,ADOUIFIR LHAZYA
-8.883397,31.077586,TISSAKHTE
-8.870962,31.122022,TIJJATE
-8.587498,31.378612,AIT SI BRAHIM
-8.472213,31.499165,ALIWA
-8.882386,31.03555,TIJDINE
-8.887159,31.04005,IMASKARE
-8.855979,31.046741,BIOUGRA
-8.845219,31.053854,AIT OUAKRIM
-8.852548,31.072739,EL KATTAJARTE
-8.683342,31.045354,TAMAZGOURTE
-8.663368,31.044548,TAGNITE
-8.546787,31.254357,ZAOUIAT EL FANSA
-8.674427,31.354986,OULAD ZAOUIA LKHORICHI
-8.670453,31.366434,MOUL EL AAOUD
-8.680493,31.339222,AZIB BEN CHIGUER
-8.647957,31.37694,LABABSA
-8.898067,31.003851,AFELLA IZDATEN
-8.851691,31.1032,TAGADIRT NBAAOUNE
-8.875976,31.093669,TIGMATINE
-8.873595,31.07831,AOUSSIR
-8.856876,31.084505,AGHELLA
-8.837159,31.122395,TIMADOUINE
-8.883069,31.100868,OTFANE
-8.900965,31.143297,TIWLI
-8.89415,31.121962,AGHBALOU
-8.904215,31.133173,AIT BEN AHMAD
-8.744566,30.94663,TASSA
-8.734499,30.932388,AFANSOU
-8.683485,30.949915,TINAGRAT
-8.714343,30.942494,AIT BAHAMMOU
-8.821122,31.03067,TAGENZA IGOUNTAR
-8.827841,31.036761,TANAMARTE
-8.726183,31.126557,TABYA
-8.700192,31.098414,TAGADIRTE
-8.700139,31.081963,ZINIT LALLA AAZIZA
-8.65498,31.060314,TAMTDJIT
-8.705425,31.1071,TABRADJOTE
-8.715458,31.037037,OUAN CHKRIR
-8.767157,31.038807,"AIT M""HAMED"
-8.734053,31.136125,IGAREN SOUK
-8.860551,31.238675,ARATAL HAMMOU
-8.863679,31.249405,ARATAL AIT BIHI
-8.851072,31.206519,AIT ABDELLAH
-8.848859,31.198029,AIT YAHYA
-8.740933,31.068226,MAGHDIR
-8.838407,31.271999,TASBAIT
-8.793525,31.221457,TAQANNORT
-8.780808,31.120087,AGADIR
-8.756636,31.152895,TIBOURIYINE
-8.816023,31.168793,TIZI WARKIOUINE
-8.781923,31.158038,AGAWZE
-8.80275,31.03479,WANZIDE
-8.806077,31.080614,TAGADDOTE
-8.814069,31.070805,TAGADIRTE
-8.765461,31.084502,TALBORJTE
-8.492044,31.118924,MAJDID
-8.49842,31.109558,ADASSIL
-8.428506,31.117968,AGADIR
-8.49426,31.161365,KARNI
-8.420847,31.126501,IMINIGHZAR
-8.484682,31.112833,IWNARNE (SOUK)
-8.451207,31.226292,IMINWASSIF
-8.468655,31.186134,TASKOURTE
-8.468071,31.198827,IMIGHZER
-8.45639,31.199246,ANABDOUR
-8.432764,31.158758,IGHRMANE
-8.430262,31.25261,TIGRAR
-8.416818,31.22738,TADARTE
-8.457941,31.212129,TIMLILTE
-8.447717,31.220503,ZILAWTE
-8.728612,31.211375,OULGHASSE
-8.777008,31.211668,AIT ALI IZANE
-8.689196,31.188704,MSAFOUR
-8.717466,31.208373,BARHICH
-8.759331,31.224073,TAGANTANE
-8.770801,31.262735,TAZDIMT IFRANE
-8.803428,31.262133,AIT DAALI
-8.777812,31.258753,AGADIR IRIJDALENE
-8.672814,31.147847,LAMSID
-8.65823,31.166254,TAMAZIRT
-8.733249,31.268604,TALAQBORNE
-8.725015,31.260863,IDAZZANE
-8.724409,31.274123,TAZDDIMTE AIT RAISS
-8.730837,31.233513,ZNADA
-8.29717,31.381019,AHL CHALGOUM
-8.319811,31.349273,LAGIDA DABOUZ
-8.31129,31.393785,SIDI RAYCH
-8.314639,31.381125,BEN SWINA
-8.320777,31.39423,LAHRACH
-8.323877,31.399252,BOUMAN QAR
-8.273851,31.370209,LAGIDA AHL BRIHMAT
-8.429543,31.447727,AZIB AIT SI HAMMOU
-8.429704,31.456088,AZIB LHASSYA
-8.446468,31.441558,AZIB BOULAROUG
-8.5301,31.013251,IGHRAME
-8.524576,31.010451,TAGOUMATE
-8.524221,31.006409,ALLOUSSE
-8.495226,30.992182,ANSSA
-8.533996,31.002855,AIT KATTOF
-8.500381,31.077603,TARGUA
-8.497438,31.070084,AIT ALI
-8.489708,31.058982,TIKSITE
-8.485371,31.018833,TAMESSOULTE
-8.582985,31.007008,ARG
-8.607848,31.007173,TINDRI
-8.554457,31.044436,IGARNTIQURI
-8.575413,31.011949,IMIN IGHZARN AISSA
-8.492114,31.313274,LOUALIJA
-8.51891,31.355369,AIT AALOUACHE
-8.625557,30.973715,ISSOU QAN
-8.532431,31.364309,AIT BRAHIM
-8.498732,31.424355,SBAYTE
-8.506587,31.405448,AIT BELLA
-8.494497,31.397795,LAHRARCHA
-8.529584,31.393195,AIT HAMANE
-8.501841,31.493356,LAMAAYACHA
-8.47193,31.447519,BOULAAROUG
-8.591197,31.360394,BEN DOUKKALI
-8.585096,31.458345,FILALA
-8.584999,31.473988,ZKARA LIBEL
-8.588644,31.27006,LAGHRIBI
-8.580977,31.249773,LAMADIR
-8.622379,31.319785,AIT HASSAYNE
-8.567333,31.234019,TAGHKIWINE
-8.554183,31.221453,AIT ABDELLAH
-8.567695,31.226585,AGADIR ASLWANE
-8.550232,31.243394,ONGASTE
